sofifa_id,predict_value
203263,51130375.7512237
204639,44988222.894108765
204923,52184034.53561925
205988,60189452.792414136
206517,61648314.93087885
207862,47949206.707444414
207863,34386258.13175703
208418,59118754.18378399
208574,45458166.95090062
208670,49325349.75280815
209889,43094891.75034509
210243,48280642.40309466
212188,69307144.25056861
215698,57108393.98609926
216352,38926336.09531562
216393,73504446.50465596
216460,71876838.8344845
216594,60370646.78883244
222492,61775854.515278816
224232,72216538.71837807
224334,49812524.14246311
228941,57617662.97594593
230938,56588339.701065116
232656,77324178.78469561
235790,126840684.73522224
237692,126495231.11221974
135507,4850850.260910053
169416,25880660.348712526
177413,24500549.1647956
178750,22661641.843279615
179645,23694295.81314177
180930,14074700.298087114
183907,25956686.942751516
184087,1524020.3850565136
184432,27142726.007829167
187961,29450248.13646778
189575,49207517.71831002
190286,46468349.89184714
190941,18370552.684619673
191043,31519055.98524899
192563,33606659.311348885
192774,30992215.098207887
192883,30418946.747702368
193082,17946170.48124441
197061,35171177.30399145
197655,37511837.89720316
199845,16925553.09153265
199914,36301744.64853748
200610,44511203.41677212
201153,1798834.3237431704
201399,42305416.394503236
202884,35380455.323534995
203574,50788397.625116065
203841,30647172.209564656
204838,41628208.83921085
204935,40516490.21571986
205452,42104951.231642455
205632,54040480.524346635
207410,50323333.34629567
209989,44071356.73863994
211688,60888134.34458435
213565,65548371.40524677
213648,55631892.98292988
214997,66066228.74860698
215333,37897840.05624944
216354,37238804.98017973
220651,53183375.40637865
220814,48745747.741183035
220834,64884369.68809791
223689,39610927.55320416
223697,38430786.3437611
225193,72039580.66366875
225850,56123131.924864054
228618,60573612.033111304
229880,61061190.65254202
230481,43983840.34926338
230658,52486057.10593774
230666,65175842.592840135
231443,75597257.30139816
233064,77559039.26016839
234642,36024052.89545794
235805,2817321.4225081857
239053,86063522.654681
241486,80246034.80161674
242444,122238728.41080734
120533,3081095.6712072887
157481,8040573.448315425
164835,1238083.2608806544
168435,2583296.700441949
168651,22979594.853657074
173731,29819983.83376665
178005,7774574.778541471
178562,14015053.044387555
180206,854752.1186289615
183512,28791367.159837898
187072,24382310.541269194
188152,28583544.62985776
188943,20411940.304984212
189242,36895682.667702675
190460,30775155.37062586
190815,16928951.35722782
192318,24927065.228478737
193105,2411235.8347855355
193165,39001011.17707994
193301,34670185.58566608
193474,23978355.489094462
193525,26479442.678615205
193698,15492792.21360496
194404,18840134.40178774
197781,37299073.73953464
198717,37552422.69211765
199110,31842849.145920806
199482,27580382.734160565
199823,41990415.67657828
201305,32947218.863985807
201519,32985576.536733963
202651,43907886.07532575
203486,32809961.30317929
205069,31972435.188110992
205070,40505429.13756528
208128,38734525.71002755
208333,39009827.56153339
208421,2387681.89074808
208461,26188739.772374224
209981,27331253.278456736
210035,48986649.13034775
210413,35808410.69302504
210935,36636173.245649405
211256,23172567.31428403
211515,2821217.719654183
212190,44632233.00304877
212462,30802786.02011318
212523,40768076.71849776
212616,48810305.130265795
216547,39036521.30957182
219693,42877460.61865654
220018,36335427.532200985
220440,51147129.309793934
220697,54024828.67799728
222077,47406877.9181927
222665,66920058.23637347
224293,59152548.02306645
224458,57594085.68183652
225100,58473183.31407719
226271,48690471.76954333
227796,64923610.62096214
229391,56488380.61947532
229558,77783399.67384332
229668,49525438.51211686
229906,52728910.86583245
229984,50504097.56265511
230168,10867878.708221357
230375,31324024.541842245
230869,47879062.05755245
231943,59183414.3848924
232488,2946013.7625147095
233096,38874195.55837101
233419,59267139.67261581
233731,65109805.94243328
234378,56262521.52498551
234396,69349172.74328054
234943,53581400.46765665
235410,62535955.75499545
235569,59965237.30087377
236792,46739808.80194207
240130,82995283.08383502
241461,93232193.03632256
241464,85648933.61254463
241671,51577225.006481744
244260,52617984.45085298
45186,9027520.827988325
124375,11444112.464051904
139068,8688262.705477685
153244,9807744.781310951
156519,25883936.13493129
163489,2338859.4396369206
163705,103317.73761648871
167664,12618140.62507454
171791,2297178.4039037083
172871,8670863.096611226
176266,6767647.208543535
178086,3242775.139856087
181458,20405068.539302666
181872,9151272.806512985
183574,17597633.509791773
184200,21300067.207492873
187754,20489544.36934424
190674,25314401.75196674
192366,13640378.965601224
193283,28931590.838882904
193314,22111200.216497626
193983,30167889.265131563
195365,25594126.655998994
195859,32130377.97726892
197965,25259012.58937286
198164,20965961.60856755
198710,28461656.22055532
199304,22924907.38394331
199564,27764384.491402473
199987,14835366.469472306
200260,22309715.94485308
200454,37256722.19180786
200724,21227405.863871098
200888,24414469.153664995
200949,29981617.703529518
201095,9687710.356651058
202695,31568648.71349441
203551,1557144.4893844908
204120,16731505.234652106
204311,37986012.18984397
204525,27393923.251122765
204638,27024953.110638678
205175,1988089.5736194784
205569,42315269.28295078
205659,26744310.570460293
205678,26589553.458378255
206511,29555145.08193974
207439,34536428.19127715
208330,38946532.23656453
208448,26103106.24481371
208596,32857742.484154873
208618,31484703.539293658
209297,24881482.408990864
210008,33108197.382974748
210385,36106020.347782545
210406,32907771.42085225
210411,41718901.08491511
210463,35496145.97373496
211300,41831061.51981713
211990,31799729.162460145
212194,40791908.34357821
214979,26789811.91564067
215330,4177506.151979376
216201,42071688.28872221
216409,29469476.73699285
216475,21028152.263234552
217940,33850865.46716529
220093,26157539.595828556
220407,13907490.81812586
221363,47013558.77355304
221479,47860816.42729867
221992,34368783.09512576
223952,28713949.568479124
224081,41246625.82170894
224411,55619038.3930633
225375,38487160.31975338
226110,38368397.34138938
226166,40017726.78693681
226226,46053924.446104445
227127,37106335.67907016
227950,39155324.21962219
228251,43807182.53231382
230225,29288321.859379675
230256,27336104.95439608
230258,34296838.961396605
230294,31504141.727698866
230347,33729589.26771299
230430,28863244.405583266
231969,27724318.375451863
232411,45192852.902150996
233927,49737828.594259694
234153,77864113.50681534
234742,45547120.664254
234906,49600611.6465664
235374,26619141.9568396
238074,46547935.60792648
239231,57752281.773995526
240950,75485108.53840567
241852,65532622.36491464
245279,42350737.024703376
247263,60797477.68221817
247394,71043360.4397995
251573,51634531.01229133
251854,80931637.26248786
1179,3023381.575664244
140233,677835.7944535983
148119,1114943.2258791516
162347,8325616.100729387
169588,10302457.336231269
171579,12124672.143297415
171877,14856180.303461503
172522,18183780.73613027
173426,3405465.2260475694
176676,10936705.16223641
177388,9423622.54321476
177509,6189747.009910278
177604,6757734.144850262
178518,9848056.130148089
182493,3092550.393064238
182494,537927.9107523852
183855,10323618.34943043
184941,14955718.4588205
185020,7880301.225220006
186561,19035094.404084176
187598,17871709.6203566
189117,12633171.372942962
189271,25900728.58764535
189690,1830661.3025571713
190972,17740733.3064912
193061,22622296.93629505
196432,3330467.427171014
197225,13784148.92816516
197242,1748589.513449358
198009,18680841.826014522
198031,26418609.722760454
198141,22126049.407232277
198950,2432614.124653637
198951,19478094.90165019
199042,12714452.760981651
199254,23092666.79881946
201119,20085827.877383746
201143,27345607.778901365
201400,24123292.321034253
201922,18695501.754244547
202024,21599320.10308191
202166,29516141.555722464
202325,18485626.213930067
203890,23532325.241324477
203895,19082997.3167014
203980,28216327.869325574
204399,10668375.194816537
204970,21522180.18641406
205600,23577084.116233673
205686,25722052.707945976
205693,21897159.98527029
205705,18323905.868526198
205849,16488328.379687848
207599,24511321.470499985
207732,26418346.629196364
207877,19560520.031426217
208808,19205598.488374073
209519,30526767.539202247
209960,25147980.10611797
210455,27052160.15738936
211117,32850591.313373733
212151,24037596.505673032
212187,20358203.2161743
212814,26061889.18647101
213661,34558875.301425405
214584,1578090.9782353882
215223,21760805.661156833
215316,17527386.972212076
216189,24075745.08948767
217870,21726290.40282056
219683,25692097.911505524
219953,27969780.232109793
220182,30012042.543576665
220971,33502788.6986624
221087,3572372.4744847724
221660,28188790.54569372
222331,29983290.730188783
222716,38362126.55986738
223724,19548579.11430807
223816,24942332.47068916
223959,2694059.309775273
224179,29060901.476732437
224309,35428877.6411899
225085,35775731.416026704
225201,35786986.18248511
225953,38195569.93826067
226491,42225929.450602084
226754,34803912.424225815
227290,21986965.741154104
227813,36431903.424468994
227928,27457270.208402384
229237,28478639.549057703
229261,38140172.677417465
229582,30178270.534294017
229857,31936914.031101115
229927,38550121.57128974
230201,26267237.017533667
230204,19591259.671246056
230271,32132869.638204787
230313,11063769.158187702
230767,44760779.598626755
231447,38162234.41988651
232119,32296569.451860514
232293,53468149.82912925
233195,31311616.42220509
233306,47559880.331899226
236401,28613361.325109456
236583,17711788.064490546
236987,43219636.26390956
237238,34142395.72255344
237383,56421149.558460556
238794,68984358.50047576
239207,45884653.765540995
240709,36795706.090822175
240900,39092417.498788245
241084,49214289.18264081
241095,45868537.920157395
243576,4422489.389511125
244369,53219334.07081792
244470,22924692.91406281
246669,63275341.69267828
41,665415.6243999205
138412,5824270.032455628
156616,2926493.5145527427
158121,4815745.283451894
159145,5117774.443864327
162240,8594963.718336215
170890,2581987.0405497495
173221,6345632.0603191005
176550,6985667.82791918
176635,13938449.0686452
176919,122128.85067084747
178509,6339002.467081605
184484,15423729.722022068
186682,10529854.099210355
187052,15823339.160526939
188041,10902332.916005068
188042,8420090.708196184
189560,9986345.105720768
189615,13644997.03941628
189682,13788785.75411689
189805,2721452.555588752
190584,15422280.102421282
190717,16698309.928463403
190745,12671907.114904352
190813,17431031.320366967
191202,11123148.271052198
191740,14950188.419732086
192064,16668351.780780751
192123,20752178.16043356
192598,14207753.16397526
192638,16345685.410931474
192789,19144310.385026753
192906,4001945.923006811
193198,19427789.84666027
193348,18955043.18264911
194209,9576448.348852005
194333,4037230.228109889
196978,20390474.843892448
198230,6119911.144815961
198329,18705182.329244573
198784,21104577.178576007
198946,10659545.74979576
199354,17682703.305694487
199503,16965275.28481133
200315,22419416.888321407
200726,2157596.5598904756
201455,22478683.518823475
202048,21936044.46557194
202335,21120567.055570334
202477,20202316.073336903
202648,28647833.014541496
202750,17418886.459065378
202857,14429737.737020282
202935,13217570.871215308
203299,17595282.91366617
203483,14770955.37054411
204024,15016377.280428667
204234,18276169.526539236
204259,2581217.686702101
204538,15112055.67950214
204884,22829616.61761715
205923,18487230.993261904
206413,16597977.412313089
206467,18837666.146641273
206545,22306105.411933415
