player,team,league_name_fbref,league_name_sofifa,games,minutes,goals,assists,goals_pens,goals_per90,assists_per90,goals_pens_per90,xg,npxg,xa,xg_per90,xa_per90,npxg_per90,crosses,interceptions,tackles_won,aerials_won,touches_att_pen_area,dribbles_completed,progressive_carries,progressive_passes_received,tackles,dribble_tackles,pressures,blocks,clearances,gca,passes_completed,passes,passes_completed_short,passes_short,passes_completed_medium,passes_medium,passes_completed_long,passes_long,progressive_passes
Jeremy Ngakia,Watford,Premier League,English Premier League,13,633,0,0,0,0.00,0.00,0.00,0.1,0.1,0.3,0.01,0.04,0.01,10,21,19,17,2,9,17,5,32,16,155,11,12,1,220,302,88,104,102,126,27,61,21
Francisco Sierralta,Watford,Premier League,English Premier League,5,427,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.01,0.00,0.01,0,14,4,18,2,1,1,0,6,5,24,9,40,0,143,169,20,22,84,89,36,54,3
Edo Kayembe,Watford,Premier League,English Premier League,6,388,0,0,0,0.00,0.00,0.00,0.1,0.1,0.2,0.01,0.05,0.01,4,8,7,4,2,3,20,5,9,3,60,7,12,0,179,219,78,87,72,85,29,42,19
Ken Sema,Watford,Premier League,English Premier League,13,552,0,0,0,0.00,0.00,0.00,0.1,0.1,0.6,0.01,0.10,0.01,10,5,7,9,9,6,18,22,11,4,150,10,16,0,81,138,43,53,26,42,6,25,3
Oghenekaro Etebo,Watford,Premier League,English Premier League,6,371,0,0,0,0.00,0.00,0.00,0.0,0.0,0.1,0.01,0.01,0.01,1,7,10,2,0,4,10,2,12,4,62,5,6,0,132,147,31,34,73,79,28,33,11
Ozan Tufan,Watford,Premier League,English Premier League,7,334,0,0,0,0.00,0.00,0.00,0.5,0.5,0.2,0.14,0.07,0.14,3,2,2,4,9,2,7,14,4,1,77,5,4,0,85,122,40,48,35,44,9,21,11
Christian Kabasele,Watford,Premier League,English Premier League,6,322,0,0,0,0.00,0.00,0.00,0.2,0.2,0.0,0.06,0.01,0.06,0,13,0,13,2,0,4,0,0,0,15,10,16,0,159,176,25,28,98,106,35,41,10
Nicolas Nkoulou,Watford,Premier League,English Premier League,3,168,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.01,0.00,0,1,0,1,0,1,0,0,1,0,7,5,10,0,46,53,10,11,24,27,11,14,1
Ashley Fletcher,Watford,Premier League,English Premier League,3,30,0,0,0,0.00,0.00,0.00,0.4,0.4,0.0,1.16,0.00,1.16,0,0,2,2,1,0,1,1,2,1,9,1,0,0,3,9,0,6,2,2,1,1,1
Troy Deeney,Watford,Premier League,English Premier League,2,25,0,0,0,0.00,0.00,0.00,0.4,0.4,0.1,1.45,0.32,1.45,0,0,0,4,5,0,0,7,0,0,7,0,3,0,3,6,2,4,1,1,0,0,1
Dan Gosling,Watford,Premier League,English Premier League,1,22,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,1,0,0,0,0,0,0,5,0,1,0,5,7,4,5,1,1,0,1,0
Thomas Dickson-Peters,Norwich City,Premier League,English Premier League,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Liam Gibbs,Norwich City,Premier League,English Premier League,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Jon McCracken,Norwich City,Premier League,English Premier League,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Michael McGovern,Norwich City,Premier League,English Premier League,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Jonathan Tomkinson,Norwich City,Premier League,English Premier League,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Christoph Zimmermann,Norwich City,Premier League,English Premier League,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Max Aarons,Norwich City,Premier League,English Premier League,25,"2,211",0,1,0,0.00,0.04,0.00,0.6,0.6,0.9,0.03,0.04,0.03,39,40,33,11,22,27,127,32,57,34,311,71,53,4,807,1075,409,452,316,415,72,166,78
Teemu Pukki,Norwich City,Premier League,English Premier League,25,"2,175",6,1,4,0.25,0.04,0.17,5.9,4.3,1.2,0.24,0.05,0.18,18,14,6,11,113,16,43,144,14,2,482,15,4,2,262,360,147,186,94,125,16,20,17
Kenny McLean,Norwich City,Premier League,English Premier League,24,"2,095",0,0,0,0.00,0.00,0.00,1.4,1.4,0.5,0.06,0.02,0.06,19,39,21,70,32,12,59,55,36,14,396,24,44,1,593,812,270,326,237,300,77,151,63
Ben Gibson,Norwich City,Premier League,English Premier League,22,"1,954",0,0,0,0.00,0.00,0.00,1.2,1.2,0.0,0.05,0.00,0.05,0,34,12,54,21,2,54,1,16,5,118,42,128,0,887,1079,208,227,475,516,200,319,69
Grant Hanley,Norwich City,Premier League,English Premier League,22,"1,907",1,0,1,0.05,0.00,0.05,1.2,1.2,0.2,0.06,0.01,0.06,0,41,32,77,20,4,16,2,41,11,186,44,121,0,723,852,174,199,380,413,157,219,21
Tim Krul,Norwich City,Premier League,English Premier League,19,"1,710",0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,5,1,0,0,491,718,59,60,205,208,225,447,0
Brandon Williams,Norwich City,Premier League,English Premier League,20,"1,673",0,1,0,0.00,0.05,0.00,0.1,0.1,1.1,0.00,0.06,0.00,14,52,23,20,25,13,70,26,47,20,261,45,38,2,710,877,304,334,346,423,55,101,65
Pierre Lees-Melou,Norwich City,Premier League,English Premier League,21,"1,416",0,0,0,0.00,0.00,0.00,1.1,1.1,1.3,0.07,0.08,0.07,19,24,29,9,22,8,30,29,49,19,406,31,11,1,472,611,211,247,174,204,73,123,58
Milot Rashica,Norwich City,Premier League,English Premier League,20,"1,393",1,2,1,0.06,0.13,0.06,1.5,1.5,1.8,0.10,0.11,0.10,53,24,12,11,38,15,75,58,20,11,219,19,13,4,235,384,104,131,87,131,41,107,24
Billy Gilmour,Norwich City,Premier League,English Premier League,16,"1,340",0,1,0,0.00,0.07,0.00,0.4,0.4,1.4,0.03,0.09,0.03,13,25,18,11,6,9,56,17,35,13,348,15,27,1,686,870,240,274,281,319,150,248,65
Josh Sargent,Norwich City,Premier League,English Premier League,22,"1,324",2,1,2,0.14,0.07,0.14,2.5,2.5,0.7,0.17,0.05,0.17,11,20,14,36,58,13,31,76,29,13,308,33,17,2,248,333,163,197,69,98,10,15,18
Mathias Normann,Norwich City,Premier League,English Premier League,13,899,1,1,1,0.10,0.10,0.10,0.7,0.7,0.4,0.07,0.04,0.07,9,16,15,17,1,16,29,0,22,6,152,15,26,2,265,409,89,108,118,167,54,118,38
Ozan Kabak,Norwich City,Premier League,English Premier League,9,742,0,0,0,0.00,0.00,0.00,0.2,0.2,0.0,0.02,0.00,0.02,0,17,4,23,5,11,13,0,6,0,70,15,28,0,278,333,69,84,167,183,37,55,13
Angus Gunn,Norwich City,Premier League,English Premier League,7,630,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,2,0,1,0,156,224,38,38,49,50,68,135,0
Dimitris Giannoulis,Norwich City,Premier League,English Premier League,11,546,0,1,0,0.00,0.16,0.00,0.1,0.1,0.3,0.01,0.05,0.01,17,18,7,3,7,16,28,20,16,10,91,22,12,1,248,328,129,146,97,124,19,47,16
Adam Idah,Norwich City,Premier League,English Premier League,17,625,1,1,1,0.14,0.14,0.14,2.0,2.0,0.6,0.28,0.09,0.28,11,4,6,16,33,12,19,51,11,2,96,4,8,1,96,142,44,66,40,50,8,12,7
Przemysław Płacheta,Norwich City,Premier League,English Premier League,9,443,0,0,0,0.00,0.00,0.00,0.5,0.5,0.3,0.10,0.06,0.10,10,8,3,3,12,3,18,19,5,0,98,7,5,0,94,141,49,60,29,41,12,24,9
Lukas Rupp,Norwich City,Premier League,English Premier League,11,496,0,0,0,0.00,0.00,0.00,0.6,0.6,1.2,0.11,0.21,0.11,3,15,7,4,12,6,29,18,9,4,105,7,3,0,241,282,118,125,91,103,25,38,18
Todd Cantwell,Norwich City,Premier League,English Premier League,8,441,0,0,0,0.00,0.00,0.00,0.2,0.2,0.2,0.03,0.04,0.03,3,4,11,4,7,5,15,18,15,4,106,2,3,0,127,154,61,70,50,60,11,16,10
Andrew Omobamidele,Norwich City,Premier League,English Premier League,5,382,1,0,1,0.24,0.00,0.24,0.3,0.3,0.0,0.08,0.00,0.08,0,10,3,6,2,0,16,1,8,6,49,10,17,0,196,226,68,77,94,103,32,42,13
Jakob Sørensen,Norwich City,Premier League,English Premier League,6,370,0,0,0,0.00,0.00,0.00,0.4,0.4,0.0,0.09,0.00,0.09,0,11,9,9,6,2,9,3,15,4,76,8,12,0,147,176,48,56,66,72,30,43,7
Kieran Dowell,Norwich City,Premier League,English Premier League,11,356,0,0,0,0.00,0.00,0.00,0.2,0.2,0.6,0.04,0.15,0.04,10,1,4,8,8,3,11,30,10,5,120,5,2,0,79,123,48,60,21,30,8,25,6
Christos Tzolis,Norwich City,Premier League,English Premier League,11,308,0,0,0,0.00,0.00,0.00,0.5,0.5,1.0,0.14,0.28,0.14,9,2,2,3,17,0,20,25,6,3,58,2,1,0,66,88,33,38,23,28,8,16,6
Sam Byram,Norwich City,Premier League,English Premier League,5,182,0,0,0,0.00,0.00,0.00,0.3,0.3,0.0,0.14,0.02,0.14,2,8,4,12,3,0,6,4,5,2,42,5,7,0,61,91,31,41,22,32,7,15,9
Jon Rowe,Norwich City,Premier League,English Premier League,4,51,0,0,0,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.22,0.00,2,2,2,1,1,1,4,2,4,0,16,2,0,0,6,10,5,6,0,1,0,1,0
Bali Mumba,Norwich City,Premier League,English Premier League,1,45,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0,1,0,0,0,0,1,0,1,0,12,2,5,0,7,10,5,6,2,2,0,2,1
Toni Fuidias,Real Madrid,La Liga,Spain Primera Division,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Latasa,Real Madrid,La Liga,Spain Primera Division,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Luis López,Real Madrid,La Liga,Spain Primera Division,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Andriy Lunin,Real Madrid,La Liga,Spain Primera Division,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Álvaro Odriozola,Real Madrid,La Liga,Spain Primera Division,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Diego Piñeiro,Real Madrid,La Liga,Spain Primera Division,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Rafa,Real Madrid,La Liga,Spain Primera Division,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Thibaut Courtois,Real Madrid,La Liga,Spain Primera Division,26,"2,340",0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,2,0,1,1,678,844,125,125,380,381,169,334,1
Éder Militão,Real Madrid,La Liga,Spain Primera Division,25,"2,250",1,2,1,0.04,0.08,0.04,2.4,2.4,1.1,0.10,0.05,0.10,11,52,29,78,35,9,49,8,45,19,215,35,93,4,1333,1499,412,437,654,699,250,331,52
David Alaba,Real Madrid,La Liga,Spain Primera Division,23,"2,062",1,3,1,0.04,0.13,0.04,0.6,0.6,2.2,0.03,0.10,0.03,26,35,17,15,36,5,97,39,22,6,176,26,55,7,1411,1529,583,602,638,673,171,220,83
Karim Benzema,Real Madrid,La Liga,Spain Primera Division,23,"1,883",19,9,16,0.91,0.43,0.76,14.9,11.9,6.3,0.71,0.30,0.57,19,7,5,13,160,23,125,165,9,1,188,8,12,15,760,891,457,518,221,254,51,62,100
Vinicius Júnior,Real Madrid,La Liga,Spain Primera Division,24,"1,940",13,6,13,0.60,0.28,0.60,9.7,9.7,5.0,0.45,0.23,0.45,41,10,24,2,187,77,299,238,34,7,407,26,1,16,817,972,505,559,242,284,52,72,89
Casemiro,Real Madrid,La Liga,Spain Primera Division,23,"1,910",0,3,0,0.00,0.14,0.00,1.7,1.7,2.0,0.08,0.09,0.08,7,44,57,83,24,10,66,33,81,29,362,47,55,9,1275,1482,491,543,510,584,240,295,116
Toni Kroos,Real Madrid,La Liga,Spain Primera Division,18,"1,525",1,3,1,0.06,0.18,0.06,1.8,1.8,2.6,0.10,0.15,0.10,23,15,16,7,22,7,120,28,25,11,253,10,8,3,1485,1620,582,594,568,593,315,407,166
Luka Modrić,Real Madrid,La Liga,Spain Primera Division,19,"1,452",1,4,0,0.06,0.25,0.00,2.3,1.5,2.7,0.14,0.17,0.09,19,23,10,8,48,24,127,65,15,4,203,13,3,7,1106,1248,496,529,403,445,177,216,114
Ferland Mendy,Real Madrid,La Liga,Spain Primera Division,16,"1,293",1,1,1,0.07,0.07,0.07,0.8,0.8,1.2,0.06,0.08,0.06,23,22,14,8,33,27,113,53,22,9,108,20,14,1,947,1037,531,561,321,349,64,78,50
Marco Asensio,Real Madrid,La Liga,Spain Primera Division,21,"1,231",7,0,7,0.51,0.00,0.51,5.5,5.5,1.8,0.40,0.13,0.40,34,20,6,0,72,13,85,106,9,3,129,12,3,6,511,629,262,299,170,198,68,106,42
Dani Carvajal,Real Madrid,La Liga,Spain Primera Division,16,"1,120",1,0,1,0.08,0.00,0.08,0.5,0.5,1.1,0.04,0.09,0.04,31,22,17,8,28,4,54,42,28,10,177,26,21,1,772,902,334,366,319,367,104,135,54
Federico Valverde,Real Madrid,La Liga,Spain Primera Division,21,"1,185",0,1,0,0.00,0.08,0.00,0.5,0.5,1.7,0.04,0.13,0.04,20,22,15,10,37,17,107,57,25,6,204,19,7,4,660,765,358,390,225,247,65,91,49
Lucas Vázquez,Real Madrid,La Liga,Spain Primera Division,18,"1,049",1,0,1,0.09,0.00,0.09,0.9,0.9,1.3,0.08,0.11,0.08,44,16,16,3,42,14,89,53,24,10,177,22,17,1,774,914,365,398,330,371,72,125,65
Nacho,Real Madrid,La Liga,Spain Primera Division,18,941,2,0,2,0.19,0.00,0.19,0.9,0.9,0.2,0.08,0.02,0.08,6,25,5,20,10,2,24,5,9,3,75,16,40,2,621,662,228,238,304,324,78,85,31
Eden Hazard,Real Madrid,La Liga,Spain Primera Division,17,690,0,1,0,0.00,0.13,0.00,1.2,1.2,2.5,0.15,0.33,0.15,12,8,6,3,69,16,96,98,8,3,73,3,1,1,351,395,214,237,109,120,18,19,21
Rodrygo,Real Madrid,La Liga,Spain Primera Division,20,640,0,1,0,0.00,0.14,0.00,1.4,1.4,0.5,0.17,0.06,0.17,14,12,8,4,55,12,66,60,11,1,142,10,1,4,261,317,188,198,55,70,8,27,23
Eduardo Camavinga,Real Madrid,La Liga,Spain Primera Division,15,519,1,0,1,0.17,0.00,0.17,0.8,0.8,0.4,0.13,0.07,0.13,2,2,14,12,18,11,33,13,21,8,179,12,7,0,330,369,132,139,143,158,50,59,23
Gareth Bale,Real Madrid,La Liga,Spain Primera Division,4,263,1,0,1,0.34,0.00,0.34,1.1,1.1,0.0,0.37,0.01,0.37,2,5,1,6,13,1,12,14,1,0,35,2,1,0,43,59,21,27,19,23,3,6,9
Miguel Gutiérrez,Real Madrid,La Liga,Spain Primera Division,3,260,0,1,0,0.00,0.35,0.00,0.0,0.0,0.5,0.00,0.17,0.00,8,5,4,1,3,4,15,4,5,2,23,1,4,2,168,187,70,76,63,66,29,37,13
Marcelo,Real Madrid,La Liga,Spain Primera Division,6,221,0,0,0,0.00,0.00,0.00,0.1,0.1,0.2,0.02,0.06,0.02,12,5,3,0,14,6,32,22,5,2,20,4,4,0,212,260,107,118,86,99,18,38,22
Isco,Real Madrid,La Liga,Spain Primera Division,10,199,1,0,1,0.45,0.00,0.45,0.5,0.5,0.4,0.18,0.12,0.18,4,1,6,3,13,10,31,17,9,3,63,0,0,1,180,205,73,81,72,76,26,36,16
Mariano,Real Madrid,La Liga,Spain Primera Division,3,120,0,1,0,0.00,0.75,0.00,0.4,0.4,0.4,0.31,0.28,0.31,0,0,1,4,8,4,5,7,1,0,12,0,1,1,17,22,9,10,5,5,1,2,2
Luka Jović,Real Madrid,La Liga,Spain Primera Division,13,293,1,2,1,0.31,0.61,0.31,1.9,1.9,0.8,0.59,0.25,0.59,1,1,0,9,20,7,6,19,1,0,33,2,3,2,43,56,26,32,11,15,3,3,5
Dani Ceballos,Real Madrid,La Liga,Spain Primera Division,4,37,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.05,0.00,0,1,2,0,0,0,1,0,2,0,6,2,0,1,23,27,12,13,8,9,3,4,1
Blanco,Real Madrid,La Liga,Spain Primera Division,1,31,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0,2,0,0,0,2,0,0,0,0,9,1,1,1,17,18,8,8,8,9,1,1,1
Peter González,Real Madrid,La Liga,Spain Primera Division,2,11,0,0,0,0.00,0.00,0.00,0.2,0.2,0.3,1.66,2.15,1.66,1,1,1,0,1,1,2,2,1,0,3,0,0,0,11,13,5,5,2,2,2,4,0
Sergio Santos,Real Madrid,La Liga,Spain Primera Division,1,11,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.32,0.00,1,0,0,0,0,0,1,0,0,0,1,0,0,0,7,7,4,4,1,1,2,2,0
Jesús Vallejo,Real Madrid,La Liga,Spain Primera Division,1,8,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,1,0,0,1,0,0,0,2,0,1,0,11,11,2,2,7,7,2,2,0
Carmona,Sevilla,La Liga,Spain Primera Division,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Luuk de Jong,Sevilla,La Liga,Spain Primera Division,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Alberto López,Sevilla,La Liga,Spain Primera Division,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Alfonso Pastor,Sevilla,La Liga,Spain Primera Division,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Pablo Pérez,Sevilla,La Liga,Spain Primera Division,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Alejandro Pozo Pozo,Sevilla,La Liga,Spain Primera Division,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Nacho Quintana,Sevilla,La Liga,Spain Primera Division,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Enrique Valiente,Sevilla,La Liga,Spain Primera Division,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Zarzana,Sevilla,La Liga,Spain Primera Division,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Diego Carlos,Sevilla,La Liga,Spain Primera Division,25,"2,204",2,0,2,0.08,0.00,0.08,2.1,2.1,0.3,0.09,0.01,0.09,1,37,31,65,31,1,39,4,35,10,150,44,101,2,1483,1676,327,341,807,846,339,469,67
Joan Jordán,Sevilla,La Liga,Spain Primera Division,26,"1,791",0,1,0,0.00,0.05,0.00,0.8,0.8,1.2,0.04,0.06,0.04,17,33,29,10,19,15,71,50,40,18,344,22,11,3,1146,1301,464,507,474,527,184,224,82
Yassine Bounou,Sevilla,La Liga,Spain Primera Division,21,"1,890",0,2,0,0.00,0.10,0.00,0.0,0.0,0.6,0.00,0.03,0.00,0,0,0,0,0,1,0,0,0,0,0,0,0,2,544,718,72,72,275,278,194,365,0
Fernando,Sevilla,La Liga,Spain Primera Division,24,"1,850",1,1,1,0.05,0.05,0.05,0.6,0.6,0.3,0.03,0.01,0.03,2,42,23,42,12,6,55,18,29,10,201,35,46,3,1121,1248,338,363,548,578,227,282,51
Jules Koundé,Sevilla,La Liga,Spain Primera Division,20,"1,656",0,1,0,0.00,0.05,0.00,0.4,0.4,1.3,0.02,0.07,0.02,8,41,12,52,27,13,90,15,20,8,135,20,64,2,1190,1328,415,442,573,608,192,258,67
Marcos Acuña,Sevilla,La Liga,Spain Primera Division,22,"1,570",1,3,1,0.06,0.17,0.06,1.3,1.3,2.4,0.07,0.14,0.07,93,22,26,22,16,35,105,55,42,18,184,21,23,3,1084,1363,416,442,464,545,196,338,87
Ivan Rakitić,Sevilla,La Liga,Spain Primera Division,23,"1,429",3,3,2,0.19,0.19,0.13,3.1,1.6,1.5,0.19,0.10,0.10,23,13,17,26,24,6,61,53,28,11,230,30,24,6,925,1085,361,390,392,436,158,225,72
Rafa Mir,Sevilla,La Liga,Spain Primera Division,24,"1,449",8,0,8,0.50,0.00,0.50,5.4,5.4,0.2,0.34,0.01,0.34,8,2,4,62,63,11,19,72,4,0,209,6,15,3,184,275,93,125,77,111,9,18,14
Lucas Ocampos,Sevilla,La Liga,Spain Primera Division,19,"1,419",5,2,5,0.32,0.13,0.32,3.8,3.8,0.8,0.24,0.05,0.24,37,21,20,15,88,31,99,110,36,15,269,28,13,4,448,576,230,262,167,205,44,79,45
Papu Gómez,Sevilla,La Liga,Spain Primera Division,21,"1,298",4,1,4,0.28,0.07,0.28,1.6,1.5,1.0,0.11,0.07,0.10,23,13,12,9,36,19,127,45,14,8,138,13,8,4,591,692,285,309,202,230,86,126,55
Gonzalo Montiel,Sevilla,La Liga,Spain Primera Division,13,887,1,2,1,0.10,0.20,0.10,0.2,0.2,1.2,0.02,0.12,0.02,27,13,4,12,15,5,43,33,12,7,78,14,14,3,485,611,215,241,224,266,38,78,36
Karim Rekik,Sevilla,La Liga,Spain Primera Division,15,956,0,2,0,0.00,0.19,0.00,0.4,0.4,0.3,0.04,0.03,0.04,5,12,13,27,15,4,19,10,19,6,106,13,31,2,614,671,222,237,318,334,65,87,24
Jesús Navas,Sevilla,La Liga,Spain Primera Division,13,942,0,2,0,0.00,0.19,0.00,0.2,0.2,3.4,0.02,0.33,0.02,47,14,3,5,15,2,66,36,8,3,66,18,21,3,552,696,217,242,229,272,97,159,50
Thomas Delaney,Sevilla,La Liga,Spain Primera Division,17,914,1,1,1,0.10,0.10,0.10,0.6,0.6,0.3,0.06,0.03,0.06,8,12,12,38,15,5,25,12,22,4,143,19,21,2,368,463,153,171,142,172,65,102,20
Youssef En-Nesyri,Sevilla,La Liga,Spain Primera Division,12,692,3,1,2,0.39,0.13,0.26,3.7,2.9,1.2,0.48,0.16,0.38,2,2,2,20,33,2,8,40,3,0,124,7,10,2,66,94,31,41,21,30,8,14,7
Óliver Torres,Sevilla,La Liga,Spain Primera Division,16,636,2,1,2,0.28,0.14,0.28,0.8,0.8,0.8,0.11,0.11,0.11,4,5,6,2,16,7,30,33,11,1,164,9,4,3,317,385,136,147,111,126,63,94,24
Ludwig Augustinsson,Sevilla,La Liga,Spain Primera Division,12,508,0,1,0,0.00,0.18,0.00,0.0,0.0,0.2,0.01,0.03,0.01,11,8,9,15,7,1,17,10,15,5,78,13,17,1,273,335,135,142,112,128,22,56,10
Suso,Sevilla,La Liga,Spain Primera Division,8,384,0,1,0,0.00,0.23,0.00,0.2,0.2,0.4,0.05,0.09,0.05,10,1,2,3,10,4,19,28,5,2,45,6,0,3,142,186,79,87,51,68,12,25,13
Érik Lamela,Sevilla,La Liga,Spain Primera Division,12,604,4,1,4,0.60,0.15,0.60,1.8,1.8,1.0,0.26,0.15,0.26,9,4,19,7,34,6,47,52,23,4,150,11,3,2,230,274,118,134,83,96,21,27,26
Óscar Rodríguez Arnaiz,Sevilla,La Liga,Spain Primera Division,11,417,0,0,0,0.00,0.00,0.00,0.8,0.8,1.2,0.18,0.26,0.18,7,9,9,3,15,9,23,27,10,2,61,5,5,1,166,210,83,90,57,74,24,38,15
Jesús Corona,Sevilla,La Liga,Spain Primera Division,6,391,0,1,0,0.00,0.23,0.00,0.5,0.5,0.5,0.12,0.12,0.12,18,6,5,6,25,10,25,33,7,2,58,3,2,1,182,234,94,106,62,79,20,38,14
Marko Dmitrović,Sevilla,La Liga,Spain Primera Division,4,360,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,135,29,29,55,55,26,51,0
Nemanja Gudelj,Sevilla,La Liga,Spain Primera Division,12,473,0,0,0,0.00,0.00,0.00,0.1,0.1,0.1,0.01,0.01,0.01,1,9,7,15,2,0,15,2,8,3,56,11,18,0,313,348,117,126,141,149,51,65,9
Anthony Martial,Sevilla,La Liga,Spain Primera Division,3,182,0,1,0,0.00,0.49,0.00,0.0,0.0,0.1,0.01,0.06,0.01,5,2,2,2,13,3,11,19,2,2,34,2,0,1,53,67,37,42,13,18,3,5,5
Munir El Haddadi,Sevilla,La Liga,Spain Primera Division,13,368,2,0,2,0.49,0.00,0.49,0.9,0.9,0.6,0.23,0.14,0.23,6,5,3,9,17,1,9,24,6,2,76,7,4,1,94,118,54,60,28,37,7,12,9
Iván Romero,Sevilla,La Liga,Spain Primera Division,4,170,0,0,0,0.00,0.00,0.00,0.5,0.5,0.0,0.28,0.00,0.28,0,3,1,0,7,1,5,19,1,0,51,2,0,1,25,32,11,14,10,11,1,1,1
Oussama Idrissi,Sevilla,La Liga,Spain Primera Division,5,127,0,0,0,0.00,0.00,0.00,0.1,0.1,0.1,0.08,0.08,0.08,0,4,1,1,7,7,11,11,1,0,24,1,1,1,40,50,16,20,20,25,4,5,5
Javier Díaz,Sevilla,La Liga,Spain Primera Division,1,90,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,33,5,5,12,12,11,16,0
Pedro Ortiz,Sevilla,La Liga,Spain Primera Division,1,7,0,0,0,0.00,0.00,0.00,0.4,0.4,0.4,4.70,4.92,4.70,0,0,0,0,1,0,1,0,0,0,3,0,1,0,14,14,5,5,7,7,2,2,3
Juan Sánchez,Sevilla,La Liga,Spain Primera Division,1,5,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0,0,1,0,0,0,0,0,1,0,5,1,0,0,2,4,0,1,2,2,0,1,0
Luismi,Sevilla,La Liga,Spain Primera Division,1,1,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,3,1,1,1,1,0,0,0
Valentino Scotta,Sevilla,La Liga,Spain Primera Division,1,1,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fran Delgado,Betis,La Liga,Spain Primera Division,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Yassin Fekir,Betis,La Liga,Spain Primera Division,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Marchena,Betis,La Liga,Spain Primera Division,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Raúl,Betis,La Liga,Spain Primera Division,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Rebollo,Betis,La Liga,Spain Primera Division,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Joel Robles,Betis,La Liga,Spain Primera Division,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Sidnei,Betis,La Liga,Spain Primera Division,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Nabil Fekir,Betis,La Liga,Spain Primera Division,24,"1,978",6,6,6,0.27,0.27,0.27,4.1,4.1,5.7,0.19,0.26,0.19,47,12,23,23,134,43,167,167,32,5,416,13,3,16,840,1044,434,466,275,329,96,178,97
