name,games,minutes,goals,assists,goals_pens,goals_per90,assists_per90,goals_pens_per90,xg,npxg,xa,xg_per90,xa_per90,npxg_per90,passes_completed,passes,passes_completed_short,passes_short,passes_completed_medium,passes_medium,passes_completed_long,passes_long,progressive_passes,gca,tackles,dribble_tackles,pressures,blocks,interceptions,clearances,touches_att_pen_area,dribbles_completed,progressive_carries,progressive_passes_received,crosses,tackles_won,aerials_won
Matthew Pennington,24,"1,529",0,0,0,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,33,,,,,,6,21,
Stuart Dallas,29,"1,609",2,1,2,0.11,0.06,0.11,,,,,,,,,,,,,,,,,,,,,24,,,,,,78,22,
Vurnon Anita,18,"1,290",0,0,0,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,22,,,,,,4,28,
Caleb Ekuban,20,990,1,0,1,0.09,0.00,0.09,,,,,,,,,,,,,,,,,,,,,2,,,,,,3,6,
Bailey Peacock-Farrell,11,990,0,0,0,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,0,
Laurens De Bock,6,348,0,0,0,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,0,
Andy Lonergan,7,630,0,0,0,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,0,
Conor Shaughnessy,9,478,0,1,0,0.00,0.19,0.00,,,,,,,,,,,,,,,,,,,,,7,,,,,,0,2,
Tom Pearce,5,428,1,0,1,0.21,0.00,0.21,,,,,,,,,,,,,,,,,,,,,9,,,,,,13,5,
Paweł Cibicki,7,384,0,2,0,0.00,0.47,0.00,,,,,,,,,,,,,,,,,,,,,3,,,,,,16,4,
Paudie O'Connor,4,360,0,0,0,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,9,,,,,,0,7,
Jay-Roy Grot,20,317,1,1,1,0.28,0.28,0.28,,,,,,,,,,,,,,,,,,,,,4,,,,,,3,2,
Hadi Sacko,14,292,0,0,0,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,1,,,,,,9,4,
Mateusz Klich,14,"1,068",1,2,1,0.08,0.17,0.08,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,0,
Cameron Borthwick-Jackson,1,81,0,0,0,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,0,,,,,,5,2,
Hugo Díaz,1,34,0,0,0,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,2,
Liam Bridcutt,27,"2,146",1,4,1,0.04,0.17,0.04,,,,,,,,,,,,,,,,,,,,,40,,,,,,13,39,
Tyler Denton,15,929,0,1,0,0.00,0.10,0.00,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,0,
Callum Nicell Galbraith,0,"","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pascal Struijk,0,"","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romário Vieira,0,"","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angus Gunn,46,"4,140",0,0,0,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,2,,,,,,0,1,
James Maddison,44,"3,630",14,8,11,0.35,0.20,0.27,,,,,,,,,,,,,,,,,,,,,21,,,,,,194,26,
Timm Klose,37,"3,240",4,1,4,0.11,0.03,0.11,,,,,,,,,,,,,,,,,,,,,54,,,,,,7,28,
Harrison Reed,39,"2,998",1,3,1,0.03,0.09,0.03,,,,,,,,,,,,,,,,,,,,,41,,,,,,36,56,
Josh Murphy,41,"2,942",7,3,7,0.21,0.09,0.21,,,,,,,,,,,,,,,,,,,,,10,,,,,,102,23,
Ivo Pinto,35,"2,920",2,1,2,0.06,0.03,0.06,,,,,,,,,,,,,,,,,,,,,32,,,,,,61,38,
Christoph Zimmermann,39,"2,822",1,2,1,0.03,0.06,0.03,,,,,,,,,,,,,,,,,,,,,33,,,,,,1,24,
Mario Vrančić,35,"2,607",1,2,1,0.03,0.07,0.03,,,,,,,,,,,,,,,,,,,,,29,,,,,,71,57,
Grant Hanley,32,"2,475",1,1,1,0.04,0.04,0.04,,,,,,,,,,,,,,,,,,,,,53,,,,,,1,24,
