sofifa_id,predict_value
180930,14074700.29808712
183907,25956686.94275154
184087,1524020.3850565087
184432,27142726.007829174
187961,29450248.13646781
189575,49207517.718310036
190286,46468349.89184716
190941,18370552.6846197
191043,31519055.985248987
192563,33606659.31134894
192774,30992215.09820793
192883,30418946.747702375
193082,17946170.481244355
197061,35171177.3039915
197655,37511837.89720325
199845,16925553.091532677
199914,36301744.6485375
200610,44511203.4167722
201153,1798834.3237431373
201399,42305416.39450329
202884,35380455.32353499
203574,50788397.625116125
203841,30647172.20956471
204838,41628208.83921092
204935,40516490.21571992
205452,42104951.2316425
205632,54040480.52434668
207410,50323333.34629569
209989,44071356.73863998
211688,60888134.34458442
213565,65548371.40524685
213648,55631892.982929945
214997,66066228.74860705
215333,37897840.056249514
216354,37238804.98017977
220651,53183375.406378694
220814,48745747.74118309
220834,64884369.68809793
223689,39610927.553204246
223697,38430786.343761116
225193,72039580.66366883
225850,56123131.924864136
228618,60573612.03311133
229880,61061190.652542055
230481,43983840.34926341
230658,52486057.10593777
230666,65175842.592840195
231443,75597257.30139819
233064,77559039.26016846
234642,36024052.89545799
235805,2817321.4225081154
239053,86063522.65468104
241486,80246034.80161682
242444,122238728.41080752
120533,3081095.671207307
157481,8040573.448315456
164835,1238083.2608806514
168435,2583296.700441951
168651,22979594.85365708
173731,29819983.83376662
178005,7774574.7785414765
178562,14015053.044387532
180206,854752.1186288742
183512,28791367.159837916
187072,24382310.541269217
188152,28583544.629857767
188943,20411940.30498425
189242,36895682.66770265
190460,30775155.37062582
190815,16928951.357227832
192318,24927065.22847875
193105,2411235.834785517
193165,39001011.17707992
193301,34670185.58566609
193474,23978355.489094455
193525,26479442.67861521
193698,15492792.213604987
194404,18840134.40178775
197781,37299073.7395346
198717,37552422.69211767
199110,31842849.145920806
199482,27580382.73416061
199823,41990415.67657831
201305,32947218.863985855
201519,32985576.53673398
202651,43907886.07532578
203486,32809961.30317927
205069,31972435.188110966
205070,40505429.13756531
208128,38734525.71002753
208333,39009827.561533414
208421,2387681.89074803
208461,26188739.772374257
209981,27331253.27845678
210035,48986649.13034776
210413,35808410.6930251
210935,36636173.24564943
211256,23172567.314284045
211515,2821217.71965417
212190,44632233.003048874
212462,30802786.02011314
212523,40768076.71849778
212616,48810305.13026584
216547,39036521.30957179
219693,42877460.61865662
220018,36335427.532201
220440,51147129.30979401
220697,54024828.67799729
222077,47406877.918192774
222665,66920058.23637354
224293,59152548.02306651
224458,57594085.68183657
225100,58473183.314077266
226271,48690471.76954339
227796,64923610.62096218
229391,56488380.61947542
229558,77783399.67384346
229668,49525438.5121169
229906,52728910.86583247
229984,50504097.56265515
230168,10867878.708221372
230375,31324024.541842274
230869,47879062.05755253
231943,59183414.384892486
232488,2946013.7625147025
233096,38874195.558371045
233419,59267139.672615856
233731,65109805.94243339
234378,56262521.5249856
234396,69349172.74328059
234943,53581400.46765672
235410,62535955.75499556
235569,59965237.30087379
236792,46739808.80194214
240130,82995283.08383511
241461,93232193.03632262
241464,85648933.61254476
241671,51577225.006481856
244260,52617984.450853035
45186,9027520.827988293
124375,11444112.464051928
139068,8688262.705477675
153244,9807744.781310974
156519,25883936.134931315
163489,2338859.439636918
163705,-103317.73761648788
167664,12618140.62507457
171791,2297178.4039037484
172871,8670863.09661122
176266,6767647.208543504
178086,3242775.1398560936
181458,20405068.539302647
181872,9151272.80651296
183574,17597633.509791777
184200,21300067.2074929
187754,20489544.36934423
190674,25314401.751966774
192366,13640378.965601267
193283,28931590.83888293
193314,22111200.216497667
193983,30167889.265131615
195365,25594126.655998964
195859,32130377.97726892
197965,25259012.589372855
198164,20965961.608567536
198710,28461656.220555313
199304,22924907.383943304
199564,27764384.491402462
199987,14835366.469472338
200260,22309715.94485308
200454,37256722.19180787
200724,21227405.863871098
200888,24414469.15366502
200949,29981617.703529496
201095,9687710.356651075
202695,31568648.71349447
203551,1557144.489384406
204120,16731505.234652145
204311,37986012.18984405
204525,27393923.251122806
204638,27024953.110638745
205175,1988089.5736194549
205569,42315269.28295083
205659,26744310.57046034
205678,26589553.45837824
206511,29555145.081939735
207439,34536428.191277176
208330,38946532.23656455
208448,26103106.244813707
208596,32857742.484154936
208618,31484703.53929362
209297,24881482.408990823
210008,33108197.382974755
210385,36106020.347782604
210406,32907771.4208522
210411,41718901.084915124
210463,35496145.97373497
211300,41831061.51981713
211990,31799729.162460215
212194,40791908.343578234
214979,26789811.91564071
